topic_id,axis,role,n_word_hits,n_label_hits,word_hits,label_hits,label,content_type,exclude_from_axes,is_noise,top_main_words
157,possessive_control,positive_control,0,1,,own,Swearing to Save Him From Himself,scene,False,False,"samantha,samara,sammi,good,optimism,jonathan,name,didn"
171,possessive_control,positive_control,0,1,,own,Staring at Her Own Reflection,scene,False,False,"mirror,reflection,rearview,glanced,herself,checked,mirrors,stared,looked,in"
211,possessive_control,positive_control,0,1,,own,Casual Offers and Reassurances,discourse,False,False,"need,got,anything,ve,have,give,one,get,you,ll"
218,possessive_control,positive_control,0,2,,own;rival,Resenting Someone More Attractive,scene,False,False,"handsome,gorgeous,cute,beautiful,adorable,attractive,looked,man,good,looking"
306,possessive_control,positive_control,0,1,,own,Accepting Blame For Your Own Actions,scene,False,False,"blame,fault,blamed,couldn,wasn,responsibility,faulted,scandal,herself,for"
366,possessive_control,positive_control,0,1,,own,Paralyzed By Irrational Fear,scene,False,False,"fear,scared,helpless,terrified,afraid,fears,frightened,cricket,fearful,was"
119,security_H4,target,10,8,dangerous;defend;guarded;protect;protecting;protection;safe;safety;secure;threat,protect;protection;protective;safe;safety;secure;threat;trust,Offering to Keep Her Safe,scene,False,False,"safe,protect,protection,dangerous,protecting,keep,defend,you,safety,re"
56,security_H4,target,3,7,harm;protect;threatened,harm;protect;protection;protective;safe;threat;threatened,Promising Never to Hurt You,scene,False,False,"hurt,hurting,harm,mean,never,won,you,want,don,hurts"
282,security_H4,target,3,5,guarded;trust;trusted,dangerous;guard;guarded;risk;trust,Struggling to Surrender Control,scene,False,False,"trust,trusted,trusting,judgment,didn,feelings,she,him,could,herself"
9,security_H4,target,2,0,provide;secure,,Coordinating Departure Times,discourse,False,False,"come,go,ll,why,here,coming,going,anywhere,you,back"
46,security_H4,target,2,2,trust;trusted,safety;trust,Asking Someone to Trust You,scene,False,False,"trust,trusted,betrayed,betray,trusting,me,betrayal,you,can,don"
160,security_H4,target,2,2,watch;watching,watch;watching,Watching Movies Together,scene,False,False,"movie,watch,watching,movies,film,disney,films,show,hollywood,we"
174,security_H4,target,2,0,guarded;provide,,Ranch Life and Falling in Love,scene,False,False,"ranch,farm,cattle,cows,cow,farmer,rancher,ranches,land,pa"
264,security_H4,target,2,2,protect;secure,protection;secure,Accused of Hiding Something,scene,False,False,"hide,hiding,hidden,concealing,can,anything,something,keep,from,anywhere"
350,security_H4,target,2,1,protect;protectively,guarded,Arms Folded Across Chest,scene,False,False,"crossed,arms,folded,chest,across,over,crosses,folding,broad,protectively"
4,security_H4,target,1,2,guarded,guarded;protection,Refusing to Be Used,scene,False,False,"wanted,she,loved,knew,didn,him,couldn,would,he,love"
10,security_H4,target,1,0,provide,,Doctor Gives Medical Instructions,scene,False,False,"doctor,hospital,nurse,doctors,doc,dr,medical,heal,healer,nurses"
17,security_H4,target,1,1,secure,secure,Discussing Rooms and Privacy,scene,False,False,"house,hotel,room,apartment,bedroom,rent,upstairs,home,bedrooms,living"
22,security_H4,target,1,0,provide,,Negotiating Payment and Debts,scene,False,False,"money,pay,owe,contract,cash,dollars,bank,debt,afford,paid"
26,security_H4,target,1,2,guarded,guarded;watching,Held Under A Long Stare,scene,False,False,"eyes,looked,look,at,stare,me,gaze,staring,face,stared"
52,security_H4,target,1,0,guarded,,Talking About Dogs and Animals,scene,False,False,"dog,dogs,animal,animals,pet,bear,pets,lion,puppy,puppies"
66,security_H4,target,1,0,threatened,,Paralyzed By Deep-Seated Fear,scene,False,False,"fear,afraid,scared,nervous,terrified,thoughts,frightened,fears,anger,she"
78,security_H4,target,1,3,guarded,defended;protective;threat,Swearing War Before He Takes Her,scene,False,False,"fight,fighting,war,battle,fought,fights,fighter,win,battles,we"
94,security_H4,target,1,1,threatened,trust,Caught in A Lie,scene,False,False,"lie,lied,lying,liar,honest,lies,honesty,truth,you,don"
129,security_H4,target,1,0,care,,Accused of Not Caring,scene,False,False,"care,cared,cares,caring,about,don,less,didn,anyone,do"
169,security_H4,target,1,0,haven,,Mulling Over A Proposal,discourse,False,False,"think,thought,about,thinking,hadn,ve,haven,didn,don,ll"
172,security_H4,target,1,4,protect,guard;protect;security;watch,Reporting to The Security Officer,scene,False,False,"police,cop,cops,officer,authorities,officers,enforcement,policeman,local,call"
177,security_H4,target,1,1,guarded,guarded,Seeing Past A Hidden Identity,scene,False,False,"sullivan,alexx,wanted,alexi,eliminate,wasn,tell,woo,had"
185,security_H4,target,1,1,care,care,Promising to Handle It,scene,False,False,"care,take,taking,yourself,ll,myself,taken,of,takin,you"
190,security_H4,target,1,0,provide,,Offering to Get Someone Cleaned Up,scene,False,False,"clean,cleaning,cleaned,mess,up,cleaners,messes,freshen,ll,cleaner"
191,security_H4,target,1,1,provide,steady,Working to Pay The Bills,scene,False,False,"job,money,pay,bills,business,paid,fund,she,career,work"
194,security_H4,target,1,1,guarded,guarded,Promising to Keep A Secret,scene,False,False,"secret,secrets,keep,keeping,kept,reveal,secretive,dirty,secrecy,know"
208,security_H4,target,1,1,secure,secure,Pounded Into The Mattress,scene,False,False,"bed,me,onto,mattress,edge,pillow,covers,off,on,my"
211,security_H4,target,1,1,provide,provide,Casual Offers and Reassurances,discourse,False,False,"need,got,anything,ve,have,give,one,get,you,ll"
223,security_H4,target,1,2,threat,security;threat,Coordinating Security Against A Threat,scene,False,False,"matt,matthew,aidan,mattie,connor,matty,stephon,alternate,bid"
229,security_H4,target,1,0,haven,,,,,,"seen,see,saw,ve,haven,can,never,did,what,it"
257,security_H4,target,1,0,secure,,Withholding An Answer,discourse,False,False,"answer,questions,respond,didn,answers,response,doesn,reply,ask,asking"
271,security_H4,target,1,0,haven,,,,,,"check,find,seen,look,did,them,found,haven,looking,take"
281,security_H4,target,1,1,calm,calm,Told to Calm Down First,scene,False,False,"calm,relax,relaxed,relaxation,calmed,gasket,relieved,down,listen,composure"
285,security_H4,target,1,0,safely,,Confessing Years of Hatred,scene,False,False,"hate,hated,hates,hating,me,myself,forever,liked,hateful,guy"
294,security_H4,target,1,2,threatened,protecting;threatened,Accepting Whatever Punishment Is Deserved,scene,False,False,"punishment,punished,raped,rape,punish,punishing,reprimanded,rapist,shall,raping"
297,security_H4,target,1,0,guarded,,,,,,"calvert,rosemere,galloway,hyacinth,rosemarie,mrs,ellen,roses"
299,security_H4,target,1,0,threat,,Pledging to Have Your Back,scene,False,False,"dane,eoin,dan,would,alicia,seen,handle,time"
301,security_H4,target,1,1,secure,secure,Confessing A Thin Relationship History,scene,False,False,"boyfriend,mate,relationship,relationships,partner,your,status,have,don,mean"
304,security_H4,target,1,1,threat,threat,Dragon Character Checks The Time,subgenre_marker,False,False,"dragon,dragons,rhona,their,slayer,knights,coin,black,focused,centuries"
306,security_H4,target,1,1,provide,harm,Accepting Blame For Your Own Actions,scene,False,False,"blame,fault,blamed,couldn,wasn,responsibility,faulted,scandal,herself,for"
308,security_H4,target,1,1,watch,watch,Squinting to Read The Watch,scene,False,False,"watch,checked,glanced,wristwatch,at,looked,wrist,checking,pocket,squinted"
313,security_H4,target,1,1,threatened,threatened,Racing to Break The Curse,subgenre_marker,False,False,"curse,cursed,silently,curses,blessing,cursing,break,giver,itself,under"
326,security_H4,target,1,0,safely,,Discovering She Is Pregnant,scene,False,False,"pregnant,pregnancy,baby,womb,months,babies,child,birth,she,draig"
328,security_H4,target,1,0,threat,,Dismissing A Remark With Silence,scene,False,False,"ignored,ignoring,ignore,comment,ignores,stones,question,valefar,petunia,toward"
332,security_H4,target,1,0,provide,,First Time Inside A Grocery Store,scene,False,False,"store,shopping,shop,hardware,shops,mall,grocery,groceries,shopped,street"
333,security_H4,target,1,2,threatened,guard;trust,Witches Warned By The Coven,subgenre_marker,False,False,"witch,witches,coven,salem,mariketa,witchy,witchcraft,magic,element,manor"
344,security_H4,target,1,0,trusted,,Fighting His Instincts to Keep Her,scene,False,False,"josh,crap,friends,loved,much,carlos,geena,winton,childhood,trusted"
346,security_H4,target,1,2,threatened,risk;threatened,Delivering Urgent News in Secret,scene,False,False,"has,likely,go,yer,admit,transmuted,cantrill,sigrid"
366,security_H4,target,1,1,threat,threat,Paralyzed By Irrational Fear,scene,False,False,"fear,scared,helpless,terrified,afraid,fears,frightened,cricket,fearful,was"
6,security_H4,target,0,2,,comfort;safe,Whispered Reassurance,discourse,False,False,"whispered,yes,said,asked,softly,thank,fine,replied,yeah,thanks"
23,security_H4,target,0,1,,steady,Gasping For Calming Breaths,scene,False,False,"breath,swallowed,throat,deep,lump,breathing,sucked,lungs,breaths,air"
27,security_H4,target,0,2,,shelter;threat,Racing The Approaching Storm,scene,False,False,"rain,snow,lights,light,sun,sky,dark,storm,clouds,moon"
31,security_H4,target,0,3,,guard;protective;watch,Keeping Watch While Others Sleep,scene,False,False,"sleep,bed,asleep,wake,nap,sleeping,awake,go,woke,get"
33,security_H4,target,0,2,,dangerous;threat,Werewolf Pack Confrontation,subgenre_marker,False,False,"wolves,werewolf,werewolves,pack,form,alpha,human,animal,the"
45,security_H4,target,0,2,,calm;reassured,Reassured Everything Will Be Fine,scene,False,False,"fine,okay,everything,right,be,all,honey,ok,will,alright"
49,security_H4,target,0,1,,watching,Drinking at The Bar,scene,False,False,"wine,glass,sip,drink,beer,bottle,sipped,took,poured,swig"
59,security_H4,target,0,1,,defend,Mother's Disapproval Looms,scene,False,False,"mother,mom,mama,daughter,your,mum,my,momma,mamma,tell"
61,security_H4,target,0,1,,care,Planning to Exchange Rings,scene,False,False,"ring,necklace,finger,diamond,stone,jewelry,gold,engagement,rings,diamonds"
69,security_H4,target,0,1,,dangerous,Visions and Nightmare Warnings,subgenre_marker,False,False,"dream,dreams,nightmares,nightmare,dreamed,dreaming,visions,true,night,dreamwright"
70,security_H4,target,0,3,,guard;protective;watch,Keeping Watch While She Sleeps,scene,False,False,"sleep,asleep,tired,wake,slept,exhausted,awake,sleeping,night,she"
82,security_H4,target,0,2,,harm;threat,Touch Her and Your Family Suffers,scene,False,False,"touch,touching,cock,touched,pussy,suck,me,want,you,dick"
83,security_H4,target,0,1,,reassured,Reassured About Eating Regularly,scene,False,False,"eat,hungry,food,eating,eaten,starving,something,appetite,you,ate"
87,security_H4,target,0,1,,threat,Threatening Death As A Warning,scene,False,False,"kill,killed,dead,die,killing,alive,died,you,murder,going"
100,security_H4,target,0,1,,safely,Promising to Find Her,scene,False,False,"find,meet,needs,ll,see,leave,where,her,can,here"
102,security_H4,target,0,1,,danger,Grief Etched on His Face,scene,False,False,"adam,cain,penn,denver,had,didn,him,saya,himself,brother"
109,security_H4,target,0,1,,guarded,Seeing Past A Guarded Identity,scene,False,False,"who,know,am,don,you,are,about,me,anyone,is"
113,security_H4,target,0,1,,threat,Knife Handed Over For Combat,scene,False,False,"sword,knife,blade,dagger,hilt,knives,swords,its,hand,sheathed"
117,security_H4,target,0,2,,threat;threatened,Blamed and Threatened Into Compliance,scene,False,False,"fault,blame,your,wasn,blamed,not,it,my,all,don"
120,security_H4,target,0,1,,comfort,Suggesting Someone Take A Shower,scene,False,False,"shower,bath,showers,tub,bathe,take,baths,need,hot,showered"
122,security_H4,target,0,2,,dangerous;threat,Wound Bleeding and Blood Loss,scene,False,False,"blood,bleeding,bleed,veins,lost,drinking,everywhere,lot,need,your"
131,security_H4,target,0,1,,watching,Watching Faces For Reactions,scene,False,False,"look,eyes,couldn,face,looking,see,anger,eye,didn,at"
148,security_H4,target,0,2,,threat;threatened,Banished From The Ranch,scene,False,False,"tyler,tucker,knew,rance,sean,said,cowboy,few"
155,security_H4,target,0,1,,threat,Stop Running or Be Claimed,scene,False,False,"run,running,ran,away,race,you,runners,fast,runner,now"
157,security_H4,target,0,2,,rescue;save,Swearing to Save Him From Himself,scene,False,False,"samantha,samara,sammi,good,optimism,jonathan,name,didn"
161,security_H4,target,0,1,,comfort,Reassuring Squeeze on The Shoulder,scene,False,False,"noah,phan,cam,tobias,ow,cameron,scissoring,beaumont,ark"
175,security_H4,target,0,3,,care;shelter;trusted,Gentleman Offers Steadying Support,scene,False,False,"mr,bingley,miss,georgiana,bennet,pemberley"
179,security_H4,target,0,2,,care;threat,Dreading What You Stand to Lose,scene,False,False,"lose,lost,give,losing,up,giving,don,loss,want,won"
202,security_H4,target,0,1,,calm,Eyes Closed in Concentration,scene,False,False,"closed,eyes,shut,closing,squeezed,her,briefly,she,opened,kat"
204,security_H4,target,0,1,,care,Promising to Care For Her Sister,scene,False,False,"sister,sisters,your,my,little,sis,gon,sisterly,is,says"
207,security_H4,target,0,2,,shield;watch,Reluctant Errand Under Duress,scene,False,False,"trey,mr,regularity,alani,name,aka,alarming,kentucky,boy"
221,security_H4,target,0,1,,guard,Caught Off Guard By Surprises,scene,False,False,"surprise,surprised,surprises,confused,confusing,surprising,why,shouldn,guess,am"
225,security_H4,target,0,1,,save,Directed to Take A Seat,scene,False,False,"sit,seat,seats,down,please,minute,sitting,take,why,chair"
228,security_H4,target,0,1,,care,Sweat Pouring From A Wound,scene,False,False,"sweat,sweating,skin,forehead,sweaty,beaded,heat,brow,beads,cold"
232,security_H4,target,0,1,,trust,Conversation Cut Short By Arrival,scene,False,False,"gabe,nick,said,conversation,cringed,hadn,hand,elwoods,pointment"
238,security_H4,target,0,1,,guard,Relaying A Message For Her,discourse,False,False,"tell,told,what,happened,talk,knows,did,her,wish,about"
239,security_H4,target,0,3,,guarded;protective;watch,Keeping Someone Guarded and Entertained,scene,False,False,"trent,andrew,iain,misjudged,story,didn,absurd,denied"
240,security_H4,target,0,1,,comfort,Unsure How to Offer Comfort,scene,False,False,"sean,jaime,brogue,answered,looked,said,bryan,yseult,morrissey,repressive"
241,security_H4,target,0,1,,watch,Calling Someone A Stubborn Idiot,scene,False,False,"charge,alfred,wasn,roarke,decided,uncle,parent,finding,fit"
244,security_H4,target,0,1,,protection,Confessing A Shattered Heart,scene,False,False,"heart,broken,broke,hearts,heartbroken,my,break,breaking,yer,shattered"
249,security_H4,target,0,1,,threatened,Threatened With Arrest and Jail,scene,False,False,"jail,arrested,prison,bail,arrest,crime,prisoner,criminal,prisoners,parole"
269,security_H4,target,0,1,,threat,Waiting For Lab Results,scene,False,False,"dna,test,tests,scientist,science,testing,rocket,rehab,results,lab"
273,security_H4,target,0,1,,care,Mentor Gives Firm Instructions,scene,False,False,"charlotte,amelia,says,lady,said,zillions,ferquhar,insensitivity,fitter"
284,security_H4,target,0,2,,danger;risk,Necks on The Line Together,scene,False,False,"mr,moral,approaching,suckered,clerked,amstreet,turrel"
293,security_H4,target,0,1,,watching,Admitting Jealousy Out Loud,scene,False,False,"jealous,jealousy,jealously,sliver,irrational,twinge,pang,emotion,be,being"
296,security_H4,target,0,3,,dangerous;threat;watching,Dangerous Glint in His Eye,scene,False,False,"eyes,dark,black,glint,color,darkened,shone,blue,glittered,green"
305,security_H4,target,0,1,,threat,Confessing A Lifelong Regret,scene,False,False,"regret,regretted,regrets,regretting,regrettable,won,will,decision,promise,don"
307,security_H4,target,0,1,,threat,Hauling Someone Up The Stairs,scene,False,False,"ash,fee,roy,ashe,darren,amaranth,after,vasai"
312,security_H4,target,0,1,,watch,Travis Brags Before The Rodeo,scene,False,False,"travis,lander,brooke,james,squeeze,semen,alana,octaves,ohh"
314,security_H4,target,0,1,,guarded,Fiancé Becoming A Stranger,scene,False,False,"blake,dion,macie,motioned,addressing,mates,grog,breydan,evite,hewitt"
335,security_H4,target,0,4,,danger;protective;threat;watching,Killer Targets Someone Alone,scene,False,False,"mason,jacks,jimmy,marcy,inclined,classes,bisexuals,cultivating,whisp"
338,security_H4,target,0,1,,dangerous,Promising Never to Do That Again,scene,False,False,"turner,carley,bray,captain,psychic,suspicions,talked,val,yourbrother"
345,security_H4,target,0,1,,shelter,Older Man Trading Shelter For Sex,scene,False,False,"ilsa,dash,uncle,italian,informant,confidential,follow,asking"
354,security_H4,target,0,1,,threat,Threatening to Bite Someone's Nose,scene,False,False,"bite,teeth,dental,dentist,bitten,chew,gnashing,gum,going,bites"
358,security_H4,target,0,2,,calm;comfort,Reassuring Squeeze of The Hand,scene,False,False,"squeezed,squeeze,hand,gave,squeezing,shoulder,gently,arm,fingers,reassuring"
367,security_H4,target,0,1,,secure,Sorting Out Concert Tickets,scene,False,False,"tour,ticket,tickets,tours,concert,cancel,concerts,bought,7heaven,tomorrow"
24,wedding_hea_control,positive_control,6,3,engaged;husband;marriage;married;marry;wife,engaged;marriage;married,Confronting An Unwanted Marriage,scene,False,False,"marry,married,marriage,husband,wife,divorce,marrying,will,you,your"
167,wedding_hea_control,positive_control,3,2,bride;groom;wedding,vows;wedding,Planning A Wedding Reception,scene,False,False,"wedding,bride,weddings,groom,bridal,our,ceremony,attend,jitters,bridesmaids"
61,wedding_hea_control,positive_control,2,2,engaged;engagement,engaged;engagement,Planning to Exchange Rings,scene,False,False,"ring,necklace,finger,diamond,stone,jewelry,gold,engagement,rings,diamonds"
29,wedding_hea_control,positive_control,1,1,always,always,Confessing Long-Held Love,scene,False,False,"love,loved,you,loves,too,falling,fall,always,me,know"
37,wedding_hea_control,positive_control,1,1,engaged,engaged,Defending A Close Friendship,scene,False,False,"friends,friend,friendship,best,we,re,friendly,be,your,friendships"
65,wedding_hea_control,positive_control,1,3,engaged,engaged;forever;future,Declaring A True Partnership,scene,False,False,"date,dating,together,each,we,other,dated,dates,ve,two"
165,wedding_hea_control,positive_control,1,1,always,always,Confessing Long-Simmering Desire,scene,False,False,"want,need,you,wanted,me,wanting,always,only,don,since"
181,wedding_hea_control,positive_control,1,0,wife,,Handing Off to Someone Else,scene,False,False,"joe,frank,uncle,franky,trader,wife,come,quicken"
201,wedding_hea_control,positive_control,1,1,engaged,engaged,Admitting You Are Gay,scene,False,False,"gay,straight,queer,lesbian,men,heterosexual,gays,homophobic,homosexual,re"
244,wedding_hea_control,positive_control,1,0,engaged,,Confessing A Shattered Heart,scene,False,False,"heart,broken,broke,hearts,heartbroken,my,break,breaking,yer,shattered"
273,wedding_hea_control,positive_control,1,0,engaged,,Mentor Gives Firm Instructions,scene,False,False,"charlotte,amelia,says,lady,said,zillions,ferquhar,insensitivity,fitter"
278,wedding_hea_control,positive_control,1,0,engaged,,Irritation Fading Into Distraction,scene,False,False,"djal,deer,said,taskmasters,outmaneuvering,eifel"
285,wedding_hea_control,positive_control,1,0,forever,,Confessing Years of Hatred,scene,False,False,"hate,hated,hates,hating,me,myself,forever,liked,hateful,guy"
314,wedding_hea_control,positive_control,1,1,engaged,engaged,Fiancé Becoming A Stranger,scene,False,False,"blake,dion,macie,motioned,addressing,mates,grog,breydan,evite,hewitt"
325,wedding_hea_control,positive_control,1,0,wedding,,Pouting and Pleading Remarks,scene,False,False,"brit,actress,blunt,flower,wedding,egregious,harecroft"
78,wedding_hea_control,positive_control,0,1,,vows,Swearing War Before He Takes Her,scene,False,False,"fight,fighting,war,battle,fought,fights,fighter,win,battles,we"
80,wedding_hea_control,positive_control,0,1,,always,Declaring Exactly What You Want,discourse,False,False,"want,what,do,whatever,wanted,you,know,exactly,wants,anything"
